time,trans_err,rot_err
1.280e+01,9.479e-01,6.767e-03
1.820e+01,8.340e-01,1.465e-01
1.841e+01,6.424e-01,1.297e-01
1.861e+01,4.150e-01,2.440e-01
1.880e+01,2.398e-01,2.520e-01
1.900e+01,1.575e-01,1.772e-01
1.920e+01,1.099e-01,8.907e-02
1.941e+01,9.716e-02,9.006e-02
1.961e+01,8.605e-02,8.894e-02
1.981e+01,8.791e-02,8.958e-02
2.000e+01,8.905e-02,8.914e-02
2.020e+01,1.004e-01,8.627e-02
2.041e+01,1.102e-01,8.852e-02
2.061e+01,1.133e-01,8.907e-02
2.080e+01,1.188e-01,8.613e-02
2.100e+01,1.273e-01,9.535e-02
2.120e+01,1.064e-01,9.059e-02
2.141e+01,9.878e-02,9.120e-02
2.161e+01,8.330e-02,8.598e-02
2.180e+01,7.238e-02,8.917e-02
2.200e+01,7.072e-02,8.677e-02
2.220e+01,6.636e-02,8.502e-02
2.241e+01,7.090e-02,8.490e-02
2.261e+01,7.420e-02,8.801e-02
2.281e+01,7.466e-02,8.722e-02
2.300e+01,7.984e-02,8.520e-02
2.320e+01,7.658e-02,8.753e-02
2.341e+01,6.814e-02,9.081e-02
2.361e+01,5.730e-02,8.925e-02
2.380e+01,4.339e-02,9.049e-02
2.400e+01,2.740e-02,8.682e-02
2.420e+01,1.762e-02,8.745e-02
2.441e+01,9.712e-03,8.506e-02
2.461e+01,1.313e-02,9.179e-02
2.480e+01,2.020e-02,8.443e-02
2.500e+01,2.155e-02,8.411e-02
2.520e+01,2.721e-02,8.078e-02
2.541e+01,2.678e-02,8.271e-02
2.561e+01,3.004e-02,8.727e-02
2.580e+01,3.177e-02,8.595e-02
2.600e+01,2.816e-02,8.924e-02
2.621e+01,3.015e-02,8.338e-02
2.641e+01,3.208e-02,9.108e-02
2.660e+01,2.287e-02,8.850e-02
2.680e+01,1.993e-02,8.831e-02
2.700e+01,1.877e-02,8.690e-02
2.720e+01,9.527e-03,8.901e-02
2.741e+01,1.818e-02,8.942e-02
2.761e+01,2.615e-02,9.080e-02
2.781e+01,2.835e-02,8.701e-02
2.800e+01,2.943e-02,8.757e-02
2.820e+01,2.544e-02,8.850e-02
2.841e+01,2.456e-02,8.767e-02
2.861e+01,1.756e-02,8.481e-02
2.880e+01,1.372e-02,9.122e-02
2.901e+01,1.403e-02,7.452e-02
2.921e+01,5.339e-03,7.775e-02
2.941e+01,1.285e-02,7.441e-02
2.961e+01,2.686e-02,7.018e-02
2.981e+01,4.757e-02,7.947e-02
3.001e+01,5.408e-02,7.912e-02
3.021e+01,5.627e-02,7.781e-02
3.041e+01,5.678e-02,7.824e-02
3.061e+01,5.804e-02,7.612e-02
3.081e+01,5.369e-02,7.506e-02
3.101e+01,5.167e-02,7.744e-02
3.121e+01,3.668e-02,7.781e-02
3.141e+01,2.997e-02,7.660e-02
3.161e+01,2.070e-02,7.659e-02
3.181e+01,3.088e-02,7.708e-02
3.201e+01,3.644e-02,7.548e-02
3.221e+01,4.515e-02,7.508e-02
3.241e+01,5.532e-02,7.446e-02
3.261e+01,5.618e-02,7.629e-02
3.281e+01,4.742e-02,7.618e-02
3.301e+01,4.097e-02,7.690e-02
3.321e+01,2.809e-02,7.836e-02
3.341e+01,1.450e-02,7.659e-02
3.361e+01,9.830e-03,7.674e-02
3.381e+01,2.301e-02,7.529e-02
3.401e+01,3.080e-02,7.050e-02
3.421e+01,3.068e-02,7.525e-02
3.441e+01,3.579e-02,6.927e-02
3.461e+01,3.323e-02,7.158e-02
3.481e+01,2.907e-02,-6.208e+00
3.501e+01,1.836e-02,7.813e-02
3.521e+01,1.326e-02,7.642e-02
3.541e+01,9.642e-03,7.732e-02
3.561e+01,5.608e-03,7.559e-02
3.581e+01,9.720e-03,7.484e-02
3.601e+01,8.629e-03,7.712e-02
3.621e+01,1.796e-02,7.594e-02
3.641e+01,1.737e-02,7.736e-02
3.661e+01,1.434e-02,7.987e-02
3.681e+01,2.274e-02,7.863e-02
3.701e+01,2.414e-02,-6.210e+00
3.721e+01,2.235e-02,7.571e-02
3.741e+01,3.554e-02,7.837e-02
3.761e+01,3.629e-02,7.723e-02
3.781e+01,4.495e-02,7.744e-02
3.801e+01,3.850e-02,7.507e-02
3.821e+01,2.750e-02,7.787e-02
3.841e+01,3.321e-02,7.655e-02
3.861e+01,1.661e-02,7.318e-02
3.881e+01,2.678e-02,7.376e-02
3.901e+01,4.512e-02,8.332e-02
3.921e+01,4.306e-02,7.874e-02
3.941e+01,4.966e-02,7.964e-02
3.961e+01,6.478e-02,7.710e-02
3.981e+01,7.125e-02,8.009e-02
4.001e+01,7.166e-02,7.945e-02
4.021e+01,5.614e-02,7.799e-02
4.041e+01,4.018e-02,7.534e-02
4.061e+01,3.511e-02,7.587e-02
4.081e+01,2.417e-02,8.004e-02
4.101e+01,2.203e-02,7.722e-02
4.121e+01,3.437e-02,7.544e-02
4.141e+01,4.062e-02,7.378e-02
4.161e+01,4.743e-02,7.277e-02
4.181e+01,4.571e-02,7.232e-02
4.201e+01,4.475e-02,6.762e-02
4.221e+01,5.121e-02,7.362e-02
4.241e+01,4.265e-02,7.581e-02
4.261e+01,3.884e-02,7.502e-02
4.281e+01,3.128e-02,7.344e-02
4.301e+01,2.765e-02,7.191e-02
4.321e+01,3.395e-02,7.676e-02
4.341e+01,4.605e-02,8.121e-02
