time,trans_err,rot_err
1.381e+01,1.340e-02,4.012e-01
2.142e+01,2.057e-02,3.880e-01
2.162e+01,1.954e-02,2.778e-01
2.182e+01,3.076e-02,2.375e-01
2.202e+01,5.641e-02,1.500e-01
2.222e+01,5.884e-02,1.463e-01
2.242e+01,3.950e-02,5.413e-02
2.262e+01,4.366e-02,5.358e-02
2.282e+01,4.668e-02,5.201e-02
2.302e+01,3.523e-02,5.132e-02
2.322e+01,3.053e-02,5.020e-02
2.342e+01,2.073e-02,5.059e-02
2.362e+01,2.311e-02,4.551e-02
2.382e+01,2.262e-02,4.973e-02
2.402e+01,2.775e-02,4.902e-02
2.422e+01,3.035e-02,4.573e-02
2.442e+01,3.898e-02,4.992e-02
2.462e+01,4.027e-02,4.920e-02
2.482e+01,4.587e-02,4.575e-02
2.502e+01,4.895e-02,4.962e-02
2.522e+01,4.181e-02,4.409e-02
2.542e+01,3.995e-02,4.795e-02
2.562e+01,3.436e-02,4.797e-02
2.582e+01,3.306e-02,4.426e-02
2.602e+01,2.573e-02,4.536e-02
2.622e+01,2.331e-02,4.018e-02
2.642e+01,2.956e-02,5.108e-02
2.662e+01,4.325e-02,4.775e-02
2.682e+01,5.256e-02,4.995e-02
2.702e+01,6.200e-02,4.918e-02
2.722e+01,6.925e-02,4.515e-02
2.742e+01,8.050e-02,4.301e-02
2.762e+01,7.853e-02,4.700e-02
2.782e+01,6.664e-02,5.083e-02
2.802e+01,5.998e-02,4.681e-02
2.822e+01,6.243e-02,4.729e-02
2.842e+01,6.839e-02,4.414e-02
2.862e+01,6.803e-02,4.543e-02
2.882e+01,7.979e-02,4.496e-02
2.902e+01,7.910e-02,4.221e-02
2.922e+01,8.731e-02,4.327e-02
2.942e+01,8.932e-02,3.779e-02
2.962e+01,8.778e-02,4.559e-02
2.982e+01,8.906e-02,4.916e-02
3.002e+01,8.527e-02,5.224e-02
3.022e+01,7.358e-02,4.445e-02
3.042e+01,6.196e-02,4.759e-02
3.062e+01,6.583e-02,4.870e-02
3.082e+01,7.462e-02,4.706e-02
3.102e+01,8.719e-02,4.620e-02
3.122e+01,1.024e-01,4.386e-02
3.142e+01,9.481e-02,4.951e-02
3.162e+01,9.838e-02,5.113e-02
3.182e+01,1.008e-01,4.820e-02
3.202e+01,9.359e-02,4.985e-02
3.222e+01,8.316e-02,4.802e-02
3.242e+01,7.061e-02,4.624e-02
3.262e+01,5.642e-02,4.710e-02
3.282e+01,4.741e-02,4.334e-02
3.302e+01,4.432e-02,4.509e-02
3.322e+01,5.110e-02,4.508e-02
3.342e+01,5.379e-02,5.004e-02
3.362e+01,5.538e-02,4.332e-02
3.382e+01,6.221e-02,4.492e-02
3.402e+01,6.808e-02,4.560e-02
3.422e+01,6.822e-02,4.286e-02
3.442e+01,5.472e-02,4.911e-02
3.462e+01,4.922e-02,4.588e-02
3.482e+01,3.685e-02,4.578e-02
3.502e+01,2.574e-02,4.445e-02
3.522e+01,2.654e-02,4.260e-02
3.542e+01,3.404e-02,4.684e-02
3.562e+01,4.693e-02,5.003e-02
3.582e+01,4.627e-02,4.951e-02
3.602e+01,5.068e-02,5.058e-02
3.622e+01,5.507e-02,4.924e-02
3.642e+01,5.202e-02,4.796e-02
3.662e+01,4.588e-02,4.646e-02
3.682e+01,3.799e-02,4.829e-02
3.702e+01,2.462e-02,4.949e-02
3.722e+01,2.770e-02,4.729e-02
3.742e+01,2.637e-02,4.866e-02
3.762e+01,4.077e-02,4.199e-02
3.782e+01,4.821e-02,4.855e-02
3.802e+01,4.635e-02,4.750e-02
3.822e+01,5.870e-02,4.860e-02
3.842e+01,5.883e-02,4.556e-02
3.862e+01,6.785e-02,4.781e-02
3.882e+01,6.530e-02,4.761e-02
3.902e+01,5.317e-02,4.498e-02
3.922e+01,5.076e-02,4.702e-02
3.942e+01,4.398e-02,4.693e-02
3.962e+01,3.959e-02,4.073e-02
3.982e+01,4.227e-02,4.347e-02
4.002e+01,4.925e-02,4.603e-02
4.022e+01,5.386e-02,4.577e-02
4.042e+01,6.402e-02,4.431e-02
4.062e+01,6.110e-02,4.467e-02
4.082e+01,6.546e-02,4.753e-02
4.102e+01,6.637e-02,4.846e-02
4.122e+01,6.352e-02,4.688e-02
4.142e+01,5.585e-02,4.866e-02
4.162e+01,3.536e-02,4.587e-02
4.182e+01,3.647e-02,4.384e-02
4.202e+01,5.178e-02,3.786e-02
4.222e+01,7.275e-02,4.223e-02
4.242e+01,8.722e-02,-6.240e+00
4.262e+01,8.957e-02,4.413e-02
4.282e+01,8.640e-02,3.109e-02
4.302e+01,9.577e-02,3.771e-02
4.322e+01,8.898e-02,3.805e-02
4.342e+01,8.102e-02,3.826e-02
4.362e+01,6.741e-02,3.780e-02
4.382e+01,6.087e-02,4.370e-02
4.402e+01,5.297e-02,4.231e-02
4.422e+01,5.823e-02,3.882e-02
4.442e+01,7.058e-02,4.257e-02
4.462e+01,7.744e-02,4.166e-02
4.482e+01,7.416e-02,4.033e-02
4.502e+01,7.471e-02,3.782e-02
4.522e+01,8.218e-02,4.007e-02
4.542e+01,7.080e-02,3.897e-02
4.562e+01,5.840e-02,4.143e-02
4.582e+01,5.100e-02,4.118e-02
4.602e+01,5.262e-02,4.273e-02
4.622e+01,4.039e-02,2.756e-02
