time,trans_err,rot_err
3.341e+01,2.954e+00,1.427e-02
3.921e+01,2.944e+00,2.466e-02
4.041e+01,2.941e+00,2.740e-02
4.141e+01,2.928e+00,3.586e-02
4.221e+01,2.922e+00,4.396e-02
4.302e+01,2.903e+00,4.873e-02
4.381e+01,2.875e+00,4.377e-02
4.461e+01,2.847e+00,3.749e-02
4.541e+01,2.779e+00,1.480e-02
4.621e+01,2.675e+00,-3.607e-03
4.702e+01,2.543e+00,-2.611e-02
4.782e+01,2.311e+00,-6.178e-02
4.861e+01,1.986e+00,-1.113e-01
4.941e+01,1.648e+00,-1.558e-01
5.022e+01,1.341e+00,-1.855e-01
5.101e+01,9.893e-01,-2.162e-01
5.182e+01,8.371e-01,-2.086e-01
5.262e+01,7.065e-01,-1.959e-01
5.342e+01,6.101e-01,-1.703e-01
5.421e+01,5.368e-01,-1.524e-01
5.501e+01,4.989e-01,-1.398e-01
5.581e+01,4.537e-01,-1.225e-01
5.662e+01,4.077e-01,-1.087e-01
5.741e+01,3.696e-01,-8.327e-02
5.822e+01,3.369e-01,-6.806e-02
5.901e+01,3.038e-01,-4.287e-02
5.981e+01,2.734e-01,-2.435e-02
6.061e+01,2.670e-01,-1.646e-02
6.141e+01,2.590e-01,-1.437e-02
6.221e+01,2.467e-01,-1.300e-02
6.301e+01,2.409e-01,-6.113e-03
6.381e+01,2.343e-01,-4.008e-03
6.461e+01,2.250e-01,2.815e-04
6.541e+01,2.159e-01,1.498e-03
6.621e+01,2.099e-01,2.330e-03
6.702e+01,2.022e-01,4.942e-04
6.782e+01,1.965e-01,2.018e-03
6.862e+01,1.873e-01,1.970e-03
6.942e+01,1.930e-01,-2.719e-04
7.022e+01,1.872e-01,8.882e-04
7.102e+01,1.814e-01,1.660e-03
7.182e+01,1.767e-01,-2.043e-03
7.262e+01,1.756e-01,9.738e-04
7.342e+01,1.623e-01,2.785e-03
7.422e+01,1.599e-01,1.769e-03
7.502e+01,1.508e-01,4.893e-03
7.583e+01,1.560e-01,4.474e-03
7.662e+01,1.587e-01,8.096e-03
7.742e+01,1.564e-01,8.832e-03
7.822e+01,1.539e-01,7.590e-03
7.903e+01,1.526e-01,7.788e-03
7.983e+01,1.421e-01,1.258e-02
8.062e+01,1.371e-01,1.218e-02
8.142e+01,1.411e-01,1.364e-02
8.222e+01,1.363e-01,4.176e-03
8.262e+01,1.349e-01,-3.728e-03
8.283e+01,1.399e-01,-8.307e-03
8.303e+01,1.471e-01,-1.149e-02
8.342e+01,1.549e-01,5.291e-03
