time,trans_err,rot_err
4.800e+00,9.439e-01,7.794e-03
1.580e+01,8.191e-01,1.029e-02
1.680e+01,5.790e-01,7.668e-03
1.761e+01,3.363e-01,6.405e-03
1.840e+01,1.605e-01,2.604e-03
1.920e+01,8.370e-02,3.106e-03
2.000e+01,3.820e-02,1.571e-03
2.080e+01,1.377e-02,4.420e-03
2.160e+01,1.139e-02,4.507e-03
2.240e+01,8.743e-03,2.218e-03
2.321e+01,9.742e-03,9.220e-04
2.400e+01,2.984e-02,3.973e-03
2.481e+01,2.809e-02,6.352e-03
2.561e+01,2.111e-02,6.328e-03
2.641e+01,1.069e-02,6.543e-03
2.721e+01,1.707e-02,7.157e-03
2.801e+01,2.229e-02,6.366e-03
2.881e+01,2.344e-02,4.187e-03
2.961e+01,1.903e-02,1.449e-03
3.041e+01,2.582e-02,4.316e-03
3.121e+01,2.964e-02,2.518e-03
3.201e+01,3.331e-02,3.950e-03
3.281e+01,4.358e-02,5.941e-03
3.361e+01,5.180e-02,8.421e-03
3.441e+01,5.579e-02,7.258e-03
3.521e+01,7.020e-02,6.662e-03
3.601e+01,7.670e-02,2.560e-03
3.681e+01,7.517e-02,2.734e-03
3.761e+01,7.120e-02,3.057e-03
3.841e+01,6.676e-02,7.553e-04
3.921e+01,6.877e-02,1.876e-03
4.001e+01,7.082e-02,2.060e-03
4.081e+01,8.089e-02,1.988e-03
4.162e+01,8.136e-02,2.986e-03
4.242e+01,8.934e-02,3.743e-03
4.322e+01,9.300e-02,2.915e-03
4.402e+01,9.369e-02,6.166e-03
4.482e+01,9.733e-02,9.016e-03
4.562e+01,9.257e-02,4.977e-03
4.642e+01,9.624e-02,6.544e-03
4.722e+01,9.829e-02,6.596e-03
4.802e+01,9.589e-02,6.886e-03
4.882e+01,1.000e-01,4.674e-03
4.962e+01,1.083e-01,6.871e-03
5.042e+01,1.153e-01,8.678e-03
5.122e+01,1.130e-01,4.515e-03
5.202e+01,1.215e-01,6.489e-03
5.282e+01,1.249e-01,4.032e-03
5.362e+01,1.258e-01,3.492e-03
5.442e+01,1.341e-01,4.338e-03
5.522e+01,1.392e-01,7.922e-03
5.602e+01,1.408e-01,5.139e-03
5.682e+01,1.407e-01,7.343e-03
