time,trans_err,rot_err
2.010e-01,2.986e+00,1.979e+00
1.401e+01,3.413e+00,1.976e+00
1.501e+01,3.997e+00,1.959e+00
1.581e+01,4.540e+00,1.935e+00
1.661e+01,5.162e+00,1.904e+00
1.741e+01,5.818e+00,1.877e+00
1.821e+01,6.455e+00,1.850e+00
1.901e+01,7.088e+00,1.794e+00
1.981e+01,7.707e+00,1.737e+00
2.061e+01,8.228e+00,1.669e+00
2.141e+01,8.747e+00,1.587e+00
2.221e+01,9.169e+00,1.505e+00
2.301e+01,9.618e+00,1.422e+00
2.381e+01,1.004e+01,1.355e+00
2.461e+01,1.048e+01,1.308e+00
2.541e+01,1.095e+01,1.277e+00
2.621e+01,1.149e+01,1.259e+00
2.701e+01,1.199e+01,1.247e+00
2.781e+01,1.249e+01,1.233e+00
2.861e+01,1.298e+01,1.215e+00
2.941e+01,1.342e+01,1.187e+00
3.021e+01,1.377e+01,1.141e+00
3.101e+01,1.418e+01,1.113e+00
3.181e+01,1.440e+01,1.075e+00
3.261e+01,1.485e+01,1.070e+00
3.341e+01,1.534e+01,1.068e+00
3.421e+01,1.582e+01,1.062e+00
3.501e+01,1.629e+01,1.058e+00
3.581e+01,1.677e+01,1.050e+00
3.661e+01,1.723e+01,1.048e+00
3.741e+01,1.766e+01,1.033e+00
3.821e+01,1.812e+01,1.029e+00
3.901e+01,1.855e+01,1.018e+00
3.981e+01,1.896e+01,1.004e+00
4.061e+01,1.936e+01,9.877e-01
4.141e+01,1.977e+01,9.807e-01
4.222e+01,2.017e+01,9.704e-01
4.301e+01,2.055e+01,9.613e-01
4.381e+01,2.095e+01,9.570e-01
4.461e+01,2.134e+01,9.542e-01
4.541e+01,2.178e+01,9.535e-01
4.621e+01,2.215e+01,9.448e-01
4.701e+01,2.254e+01,9.390e-01
4.781e+01,2.294e+01,9.360e-01
4.861e+01,2.335e+01,9.367e-01
4.941e+01,2.376e+01,9.362e-01
5.022e+01,2.418e+01,9.404e-01
5.101e+01,2.466e+01,9.492e-01
5.181e+01,2.513e+01,9.588e-01
5.262e+01,2.559e+01,9.611e-01
5.341e+01,2.603e+01,9.661e-01
5.422e+01,2.638e+01,9.558e-01
5.502e+01,2.671e+01,9.486e-01
5.581e+01,2.693e+01,9.266e-01
5.662e+01,2.707e+01,8.989e-01
5.741e+01,2.733e+01,8.857e-01
5.822e+01,2.757e+01,8.731e-01
5.902e+01,2.767e+01,8.483e-01
5.981e+01,2.804e+01,8.515e-01
6.062e+01,2.843e+01,8.593e-01
6.141e+01,2.881e+01,8.664e-01
6.222e+01,2.921e+01,8.740e-01
6.302e+01,2.962e+01,8.798e-01
6.381e+01,3.007e+01,8.899e-01
6.461e+01,3.049e+01,9.017e-01
6.542e+01,3.091e+01,9.064e-01
6.622e+01,3.138e+01,9.243e-01
6.701e+01,3.180e+01,9.298e-01
6.781e+01,3.223e+01,9.337e-01
6.861e+01,3.269e+01,9.401e-01
6.942e+01,3.316e+01,9.515e-01
7.022e+01,3.365e+01,9.543e-01
7.102e+01,3.413e+01,9.637e-01
7.182e+01,3.462e+01,9.710e-01
7.262e+01,3.504e+01,9.507e-01
7.302e+01,3.519e+01,9.666e-01
7.322e+01,3.524e+01,9.655e-01
7.342e+01,3.529e+01,9.702e-01
7.362e+01,3.532e+01,9.772e-01
7.402e+01,3.534e+01,9.920e-01
