time,trans_err,rot_err
1.600e+01,2.945e+00,4.305e-03
3.100e+01,2.909e+00,-2.388e-02
3.300e+01,2.878e+00,1.114e-02
3.500e+01,2.860e+00,1.724e-02
3.800e+01,2.834e+00,2.108e-02
4.000e+01,2.805e+00,3.190e-02
4.300e+01,2.767e+00,3.229e-02
4.500e+01,2.726e+00,1.980e-02
4.700e+01,2.707e+00,2.203e-02
5.000e+01,2.615e+00,8.848e-03
5.200e+01,2.491e+00,-2.066e-02
5.500e+01,2.322e+00,-5.808e-02
5.700e+01,2.117e+00,-7.923e-02
6.000e+01,1.884e+00,-1.341e-01
6.200e+01,1.651e+00,-1.726e-01
6.500e+01,1.459e+00,-1.958e-01
6.700e+01,1.318e+00,-2.242e-01
6.900e+01,1.252e+00,-2.401e-01
7.200e+01,1.211e+00,-2.347e-01
7.400e+01,1.196e+00,-2.458e-01
7.600e+01,1.207e+00,-2.429e-01
7.900e+01,1.195e+00,-2.330e-01
8.100e+01,1.140e+00,-1.939e-01
8.400e+01,1.114e+00,-2.092e-01
8.500e+01,1.045e+00,-1.660e-01
8.500e+01,9.953e-01,-1.065e-01
8.600e+01,9.731e-01,-5.036e-02
8.800e+01,9.229e-01,-3.815e-02
9.000e+01,8.712e-01,-1.161e-02
9.200e+01,8.017e-01,6.511e-03
9.500e+01,6.863e-01,-6.270e+00
9.700e+01,5.622e-01,1.964e-02
9.900e+01,4.571e-01,-6.260e+00
1.010e+02,3.716e-01,2.346e-02
1.030e+02,3.403e-01,2.019e-02
1.050e+02,3.173e-01,1.933e-02
1.070e+02,3.006e-01,1.655e-02
1.090e+02,2.844e-01,1.402e-02
1.110e+02,2.785e-01,1.106e-02
1.130e+02,2.689e-01,9.336e-03
1.160e+02,2.630e-01,1.198e-02
1.180e+02,2.625e-01,-6.272e+00
1.200e+02,2.582e-01,1.180e-02
1.220e+02,2.590e-01,6.710e-03
1.240e+02,2.560e-01,4.490e-03
1.260e+02,2.513e-01,6.799e-03
1.280e+02,2.474e-01,-6.276e+00
1.300e+02,2.324e-01,-6.276e+00
1.320e+02,2.180e-01,7.881e-03
1.340e+02,2.103e-01,7.513e-03
1.360e+02,2.141e-01,6.673e-03
1.380e+02,1.913e-01,6.408e-03
1.400e+02,1.873e-01,1.163e-02
1.430e+02,1.593e-01,5.916e-03
1.450e+02,1.541e-01,2.552e-03
1.470e+02,1.459e-01,4.054e-03
1.490e+02,1.476e-01,7.137e-03
1.510e+02,1.469e-01,9.503e-03
1.540e+02,1.337e-01,9.029e-03
1.560e+02,1.287e-01,6.149e-03
1.580e+02,1.230e-01,3.476e-03
1.600e+02,1.193e-01,9.585e-03
1.630e+02,1.147e-01,5.266e-04
1.650e+02,1.052e-01,8.144e-03
1.670e+02,9.953e-02,1.005e-02
1.690e+02,9.682e-02,1.407e-02
1.710e+02,9.209e-02,8.545e-03
1.730e+02,8.701e-02,8.738e-03
1.750e+02,8.129e-02,8.297e-03
1.770e+02,6.834e-02,6.878e-03
1.790e+02,6.065e-02,6.291e-03
1.810e+02,5.077e-02,-6.275e+00
1.840e+02,4.614e-02,5.348e-03
1.860e+02,3.550e-02,4.575e-03
1.880e+02,3.566e-02,-6.276e+00
1.900e+02,3.573e-02,3.747e-03
1.920e+02,3.374e-02,5.976e-03
1.940e+02,2.995e-02,5.364e-03
1.960e+02,2.966e-02,3.940e-03
1.980e+02,3.076e-02,5.021e-03
2.000e+02,3.545e-02,4.087e-03
2.020e+02,4.021e-02,-6.278e+00
2.040e+02,3.947e-02,5.486e-03
2.060e+02,4.500e-02,4.793e-03
2.080e+02,5.254e-02,5.334e-03
2.100e+02,5.231e-02,5.109e-03
2.120e+02,5.906e-02,4.880e-03
2.140e+02,6.395e-02,3.702e-03
2.170e+02,7.565e-02,6.295e-03
2.190e+02,8.419e-02,5.383e-03
2.210e+02,8.925e-02,4.964e-03
2.230e+02,9.466e-02,7.969e-03
2.230e+02,9.872e-02,2.948e-03
2.240e+02,9.124e-02,-1.450e-03
