time,trans_err,rot_err
9.00e+01,4.852e-02,1.562e+00
9.900e+01,2.827e-01,1.625e+00
9.900e+01,4.325e-01,1.606e+00
1.020e+02,1.048e+00,1.541e+00
1.040e+02,1.684e+00,1.531e+00
1.070e+02,2.334e+00,1.519e+00
1.090e+02,3.009e+00,1.530e+00
1.120e+02,3.697e+00,1.520e+00
1.140e+02,4.312e+00,1.575e+00
1.160e+02,4.998e+00,1.616e+00
1.180e+02,5.577e+00,1.636e+00
1.200e+02,6.151e+00,1.667e+00
1.220e+02,6.713e+00,1.687e+00
1.240e+02,7.254e+00,1.711e+00
1.260e+02,7.822e+00,1.747e+00
1.280e+02,8.453e+00,1.754e+00
1.300e+02,8.986e+00,1.738e+00
1.320e+02,9.584e+00,1.773e+00
1.350e+02,1.016e+01,1.761e+00
1.370e+02,1.070e+01,1.752e+00
1.390e+02,1.134e+01,1.746e+00
1.410e+02,1.194e+01,1.742e+00
1.440e+02,1.250e+01,1.736e+00
1.450e+02,1.247e+01,1.696e+00
1.460e+02,1.241e+01,1.654e+00
1.460e+02,1.241e+01,1.695e+00
1.470e+02,1.245e+01,1.661e+00
1.470e+02,1.245e+01,1.685e+00
1.480e+02,1.244e+01,1.664e+00
1.490e+02,1.234e+01,1.670e+00
1.490e+02,1.217e+01,1.661e+00
1.520e+02,1.164e+01,1.662e+00
1.540e+02,1.117e+01,1.653e+00
1.560e+02,1.069e+01,1.649e+00
1.580e+02,1.023e+01,1.646e+00
1.600e+02,9.828e+00,1.644e+00
1.630e+02,9.412e+00,1.632e+00
1.650e+02,8.999e+00,1.630e+00
1.670e+02,8.569e+00,-4.654e+00
1.690e+02,8.164e+00,-4.658e+00
1.710e+02,7.760e+00,-4.667e+00
