time,trans_err,rot_err
1.300e+01,2.016e+00,7.309e-01
2.600e+01,2.306e+00,6.996e-01
2.800e+01,2.561e+00,6.258e-01
3.000e+01,2.751e+00,5.769e-01
3.200e+01,2.911e+00,5.324e-01
3.400e+01,2.999e+00,4.899e-01
3.600e+01,3.068e+00,4.443e-01
3.800e+01,3.048e+00,3.947e-01
4.100e+01,2.970e+00,3.397e-01
4.300e+01,2.836e+00,3.000e-01
4.500e+01,2.599e+00,2.398e-01
4.700e+01,2.335e+00,1.705e-01
5.000e+01,1.977e+00,1.197e-01
5.300e+01,1.562e+00,4.715e-02
5.300e+01,1.255e+00,-1.298e-02
5.600e+01,9.820e-01,-3.352e-02
5.800e+01,8.495e-01,-4.802e-02
6.000e+01,7.186e-01,-6.724e-02
6.200e+01,6.786e-01,-7.450e-02
6.400e+01,6.396e-01,-7.439e-02
6.700e+01,6.039e-01,-7.888e-02
6.900e+01,5.658e-01,-7.144e-02
7.100e+01,5.461e-01,-6.610e-02
7.400e+01,5.144e-01,-6.435e-02
7.700e+01,4.909e-01,-4.369e-02
7.900e+01,4.721e-01,-2.546e-02
8.200e+01,4.691e-01,-5.790e-03
8.300e+01,4.763e-01,6.069e-02
8.400e+01,4.521e-01,5.954e-02
8.400e+01,4.216e-01,6.399e-02
8.400e+01,4.157e-01,6.001e-02
8.400e+01,3.979e-01,6.203e-02
8.500e+01,3.791e-01,5.051e-02
8.500e+01,3.626e-01,5.697e-02
8.600e+01,3.504e-01,4.990e-02
8.600e+01,3.338e-01,2.784e-02
8.900e+01,3.106e-01,2.297e-02
9.100e+01,2.860e-01,2.400e-02
9.300e+01,2.716e-01,2.168e-02
9.500e+01,2.599e-01,1.914e-02
9.700e+01,2.438e-01,1.701e-02
9.900e+01,2.322e-01,1.629e-02
1.010e+02,2.212e-01,1.681e-02
1.030e+02,2.135e-01,1.291e-02
1.050e+02,2.027e-01,-6.270e+00
1.070e+02,2.000e-01,1.297e-02
1.100e+02,1.932e-01,1.266e-02
1.120e+02,1.768e-01,-6.271e+00
1.140e+02,1.702e-01,9.691e-03
1.160e+02,1.623e-01,-6.272e+00
1.180e+02,1.545e-01,-6.272e+00
1.200e+02,1.553e-01,1.171e-02
1.220e+02,1.496e-01,-6.273e+00
1.240e+02,1.528e-01,6.391e-03
1.270e+02,1.547e-01,5.777e-03
1.290e+02,1.461e-01,7.715e-03
1.310e+02,1.417e-01,1.093e-02
1.330e+02,1.394e-01,7.740e-03
1.350e+02,1.273e-01,3.286e-03
1.360e+02,1.269e-01,3.682e-03
1.360e+02,1.174e-01,-4.087e-02
1.370e+02,1.110e-01,-8.012e-04
1.370e+02,1.019e-01,-3.226e-03
1.380e+02,9.889e-02,-1.050e-03
1.380e+02,9.454e-02,5.353e-03
1.390e+02,8.596e-02,1.479e-03
1.390e+02,8.244e-02,5.198e-04
1.390e+02,7.786e-02,-4.246e-04
1.400e+02,6.964e-02,-9.824e-04
1.400e+02,6.396e-02,-3.589e-03
1.400e+02,5.473e-02,-3.569e-03
1.410e+02,4.868e-02,-1.141e-03
1.410e+02,4.365e-02,-2.306e-04
1.420e+02,2.915e-02,-1.018e-04
1.420e+02,3.032e-02,-1.174e-03
1.420e+02,2.657e-02,-3.325e-03
1.430e+02,2.392e-02,-1.248e-03
1.430e+02,2.059e-02,5.111e-04
1.440e+02,1.803e-02,2.279e-03
1.440e+02,1.537e-02,2.427e-03
1.450e+02,1.024e-02,2.438e-03
1.450e+02,1.222e-02,3.129e-03
1.460e+02,2.236e-02,-1.252e-02
1.470e+02,1.550e-02,-1.151e-02
1.480e+02,1.102e-02,2.051e-03
1.480e+02,1.000e-02,-4.061e-02
