time,trans_err,rot_err
1.600e+01,9.227e-01,1.024e-02
4.100e+01,7.707e-01,-1.544e-03
4.300e+01,5.611e-01,4.419e-03
4.600e+01,3.622e-01,5.428e-03
4.800e+01,2.243e-01,6.571e-03
5.100e+01,1.523e-01,5.479e-03
5.400e+01,1.317e-01,2.133e-03
5.600e+01,1.151e-01,5.790e-04
5.900e+01,1.033e-01,4.531e-03
6.100e+01,8.450e-02,3.012e-03
6.400e+01,6.996e-02,2.685e-03
6.600e+01,6.887e-02,1.709e-03
6.900e+01,6.887e-02,1.765e-03
7.100e+01,5.303e-02,1.541e-03
7.400e+01,3.808e-02,9.127e-05
7.600e+01,3.630e-02,2.748e-03
7.800e+01,3.184e-02,1.871e-03
8.100e+01,1.987e-02,2.665e-03
8.400e+01,2.473e-02,5.337e-03
8.700e+01,2.271e-02,4.284e-03
8.900e+01,2.375e-02,4.637e-03
9.200e+01,2.457e-02,3.610e-03
9.500e+01,2.075e-02,2.640e-03
9.700e+01,2.665e-02,1.791e-03
9.800e+01,3.172e-02,3.118e-03
9.900e+01,3.094e-02,5.459e-04
1.000e+02,3.666e-02,1.855e-03
1.000e+02,3.911e-02,-1.268e-03
1.000e+02,4.175e-02,6.344e-04
1.010e+02,4.189e-02,3.955e-03
1.030e+02,4.120e-02,3.600e-03
1.060e+02,4.748e-02,5.402e-03
1.080e+02,5.043e-02,7.237e-03
1.100e+02,4.493e-02,5.092e-03
1.120e+02,4.923e-02,3.568e-03
1.140e+02,4.628e-02,4.651e-03
1.160e+02,4.579e-02,6.264e-03
1.180e+02,4.082e-02,6.248e-03
1.200e+02,3.810e-02,-6.277e+00
1.220e+02,4.376e-02,-6.279e+00
