time,trans_err,rot_err
2.700e+01,1.828e-02,7.494e-01
5.200e+01,3.271e-01,6.927e-01
5.400e+01,5.178e-01,5.250e-01
5.600e+01,4.692e-01,2.517e-01
5.900e+01,3.026e-01,6.046e-02
6.100e+01,2.343e-01,1.436e-02
6.300e+01,1.979e-01,-4.580e-03
6.600e+01,1.920e-01,-3.607e-03
6.800e+01,1.878e-01,8.772e-04
7.100e+01,1.786e-01,-8.037e-04
7.300e+01,1.791e-01,6.764e-04
7.500e+01,1.756e-01,-1.004e-04
7.800e+01,1.685e-01,-1.019e-03
8.000e+01,1.684e-01,8.170e-04
8.200e+01,1.636e-01,1.351e-03
8.500e+01,1.601e-01,3.635e-03
8.700e+01,1.567e-01,3.196e-03
8.900e+01,1.557e-01,2.704e-03
9.000e+01,1.502e-01,-1.861e-02
9.100e+01,1.400e-01,1.482e-03
9.300e+01,1.353e-01,1.642e-03
9.500e+01,1.313e-01,8.194e-04
9.800e+01,1.261e-01,4.176e-03
1.010e+02,1.269e-01,2.040e-03
1.030e+02,1.235e-01,-4.032e-04
1.050e+02,1.123e-01,-4.166e-03
1.060e+02,1.079e-01,-1.792e-02
1.080e+02,9.980e-02,-1.900e-02
1.080e+02,9.459e-02,-1.389e-02
1.080e+02,8.465e-02,-5.084e-02
1.090e+02,8.934e-02,-1.432e-02
1.090e+02,8.408e-02,-6.874e-03
1.110e+02,8.162e-02,2.930e-03
1.130e+02,7.416e-02,6.032e-03
1.150e+02,7.201e-02,4.385e-03
1.180e+02,7.034e-02,6.426e-03
1.200e+02,6.587e-02,4.885e-03
1.220e+02,5.713e-02,2.642e-03
1.240e+02,6.159e-02,4.959e-03
1.260e+02,5.502e-02,4.711e-03
1.280e+02,5.076e-02,4.691e-03
1.300e+02,4.513e-02,6.512e-03
